"Dibattito Politico, una visione opposta del mondo.",a,29
Dibattito LGBT e la Polisessualità,a,26
Musica PoP,a,22
"Dibattito Sport, squadre e giocatori.",a,22
Dibattito sul Cambiamento Climatico e sulla Sostenibilità.,a,22
"Dibattito sul processo Pacciani, chi era il mostro di Firenze?",a,22
"Dibattito Politico, una visione opposta del mondo. 2",a,22
aula studio maturandi,a,21
aula studio maturandi,a,18
FILM (hardocre) (prime) (1h37m),a,18
"Giochi di carte, porta un mazzo di carte e facciamo un torneo.",a,21
"Giochi di carte, porta un mazzo di carte e facciamo un torneo.",a,21
Musica Drill,a,26
Calcio Sotrico teoria,a,32
"CR7 o Messi, chi è il Numero 1?",a,32
FILM the game (netflix) (2h),a,27
Lezione LInux,a,27
Musica Trap,a,22
"Enogastronomia, mangiamo a chiacchera",a,22
Corso di Videogiochi,a,22
Lezione Anime,a,22
Dibattito sul Cambiamento Climatico e sulla Sostenibilità 2,a,35
Musica Rap,a,21
FILM io sono leggenda (netflix)(1h40m),a,26
Torneino di FIFA,a,29
Musica Raggaeton,a,27
Dibattito femminismo,a,26
FILM limitless (netflix) (1h40m),a,27
"Dibattito Sport, squadre e giocatori. 2",a,27
"Aula Powernep, riposati e riacquista le energie",a,27
Musica Rock,a,22
aula studio non maturandi,a,22
aula studio non maturandi,a,26
Lezione sui motori,a,26
FILM l'odio (prime) (1h30m),a,26
Dibattito sul danno dell'Alcool all'organismo,a,27
Dibattito sulla Legalizzazione o meno delle Droghe Leggere 2,a,27
Lezione CRYPTO,a,27
Dibattito sulla Legalizzazione o meno delle Droghe Leggere,a,31
FILM il buco (netflix) (1h30m),a,27
humanitas e Idea park,a,29
FILM scemo e piu scemo (netflix) (1h40),a,26
Dangenons&Dragons,a,27
Torneo di Scacchi,a,27
Dibattito Schedine di calcio,a,28
Musica Techno,a,27
FILM yessman (netflix)(1h44m),a,26
FILM american psyco (netflix) (1h40m),a,26
FILM fight club (prime) (2h10m),a,26
ping pong,a,12
calcio storico,a,? 40
calcetto,a,14
basket,a,14
Volano,a,10
Laboratorio di Musica,a,0
